word,word_type,meaning,examples
excoriate,,"1, damage or remove part of the surface of the skin
2, criticize severely",
excrescence,noun,"an abnormal outgrowth or enlargement, such as a wart.",The old tree trunk was covered with moss and excrescences that made it look eerie.
execrable,,"absolutely the worst
related to excrement",
exegesis,,"a critical look at a text
from the Greek for ""interpret""",Jewish people do not eat meat and dairy in the same meal based on an exegesis of a law in the Torah that says you should not eat a calf cooked in its mother's milk.
exigency,,"a pressing or urgent situation, a sudden crisis
think of a mix of 'excitement' and 'emergency', and you have exigency",
expedient / expedience,,"appropriate to a purpose, practical",
expropriate,verb,"taking people's property, usually by a government",Their assets were expropriated by the government.
expropriation,noun,,
extemporize,,"perform without preparation, improvise",
extirpate,verb,"destroy completely, as if down to the roots",
farrago,,"a random assortment of stuff
sounds more formal than hodgepodge or mishmash but it means the same thing",A flea market has a farrago of antiques and old junk.
faute de mieux,,for want of a better alternative,
fealty,,"loyalty
like the word fidelity whih also derives from the Latin root fidelitas",
febrile,adjective,"related to fever. It can be used in a medical sense when someone is sick and running a temperature, or in a figurative sense to describe a state of excitement or energy",The atmosphere in the city was febrile as the king's coronation date approached.
fecund,adjective,"describes things that are highly fertile and easily produce offspring or fruit
from the Latin word fecundus- fruitful
can also be used to describe someone who is innovative or highly intellectually productive",Your fecund imagination will be an asset if you tell ghost stories around the campfire.
feudal,,"political system developed in Europe in the 8th century; a lord owned the land while vassals and serfs farmed it in return for accomadation. Feudalism ended in the 1400s. People who lived during feudalism didn't use the term. It wasn't until several centuries after the system ended that scholars coined it. -ism means ""philosophy or system"" while Feudal comes from the Medieval Latin feudalis- ""feudal estate,"" and is related to feodary - ""one who holds lands of an overlord in exchange for service""",
fitful,,"stopping and starting, switching suddenly",I had a fitful night's sleep: I woke up several times throughout the night.
foment,verb,"stir up trouble, turn a group into an angry mob",They accused him of fomenting political unrest.
frowsy,,"untidy, scruffy",The lush mane was ratted and backcombed into a frowsy beehive.
fulcrum,,"1. the supporting point of a lever (e.g underneath a see-saw)
2. something that plays an essential role or serves as the center of an activity or situation","The fulcrum of the debate.
That dad who organizes everybody’s playdates? He's the fulcrum of the playground social circle."
fungilble,,"something is fungible when you can exchange it for something else
from a Latin phrase meaning “to serve in place of”",Why can you trade a $20 bill for a $10 and two $5s? Because money is fungible.
garrulous,adjective,full of trivial conversation,
gauche,,"lacking social polish; tacky, graceless, rude, boorish
from a French word meaning left",Publicly asking someone why they don’t like you? That is so gauche!
germane,adjective,relevant,
gestalt,,an organized whole that is perceived as more than the sum of its parts,"The famous phrase of Gestalt psychologist Kurt Koffka, ""The whole is something else than the sum of its parts"" is often incorrectly translated as ""The whole is greater than the sum of its parts""."
gestalt,noun,an organized whole perceived as more than the sum of its parts.,"The painting wasn't just a random collection of colors and shapes, but a harmonious gestalt."
glib,,"fluent, but insincere and shallow
spoken in a confident way, but without careful thought or honesty
can be applied to the kind of thoughtless comments marked by a lack of intellectual depth","Glib generalizations.
A glib response to a complex question."
gull,verb,to cheat or trick someone,
heterodox,adjective ,"atypical beliefs, opposite of orthodox
from the Greek words heteros - 'other' and doxa -'opinion'","If you are a teacher with a heterodox teaching style, you may win over students but alarm your more traditional colleagues."
heterogeneity,noun,"diverse and not comparable in kind
the Greek prefix hetero means ""other or different"", while homo means ""the same""",A classroom consisting of people from lots of different backgrounds would be considered having the quality of heterogeneity.
heuristic,noun or adjective,"cognitive shortcuts that simplify decisions
a rule or a method that comes from experience and helps you think through things.
from a Greek word that means ""to discover""","You can think of a heuristic as a shortcut, e.g: a rule of thumb, an educated guess, an intuitive judgment, guesstimate, stereotyping, profiling, or common sense"
homonym,,a word that is said or spelled the same way as another word but has a different meaning,Write and right is a good example of a pair of homonyms.
homophone,,a word that sounds the same as another word but has a different meaning and/or spelling,Some and sum is a good example of a pair of homophone.
homunculus,,"the diminutive of the Latin word homo meaning 'man': a homunculus is a ""little man""","In the 17th century, theorists called Preformationists argued that a human being begins life as a tiny, preformed person - a homunculus - encapsulated in the sperm or, as some thought, in the egg. They were arguing against Aristotle's view that humans and other organisms begin life as unformed material that gradually takes shape, and, in the case of humans, this process includes a moment of ""ensoulment"" - when the embryo gets a soul and becomes fully human. "
hubris,,an excess of confidence,
ideology,,a set of opinions or beliefs,
ignoble,,completely lacking in nobility,"""There was something cowardly and ignoble in his attitude."""
ignominious,adjective,public shame or disgrace,
ignominy,noun,public shame or disgrace,The ignominy of being imprisoned.
imbroglio,noun,"an unwanted, difficult, and confusing situation, full of trouble and problems",The Soviet Union became anxious to withdraw its soldiers from the Afghan imbroglio.
immutable,adjective,unchangable,
impeach,,"1, to charge someone with doing something wrong, specifically a high government official. However, being impeached is only the first step in removing an official from office
2, to cast doubt on someone's character
from the Latin impedicare - ""catch, entangle.""",
impecunious,,"im-peh-QUE-ne-ous
hard up, broke, penniless
from the old Latin pecunia - ""money"" combined with the prefix im- ""not"" or ""without""","If you go into the arts, you are most likely facing an impecunious future."
imperturbable / imperturbability,,"calm and unruffled self-assurance, not easily perturbed or excited or upset, marked by extreme calm and composure",
impiety,,"a disrespect for the sacred
piety is devotion or reverence, so impiety is a lack of devotion or reverence","Visitors are advised not to wear shorts when touring certain cathedrals in Europe, because doing so is viewed as impiety by those who worship there."
implacable,,"unable to be appeased or placated
from the verb to placate - ""to soothe"" or ""to appease""",
imprimatur,,"formal support, approval",The imprimatur for this edition was granted by the cardinal.
improvident,,"lacking foresight and consideration for the future
from the Latin word providere meaning ""provide"", with the negative prefix im","An improvident person doesn't worry about the future, or plan wisely for it.
An improvident town council that spends the whole budget on playground equipment, leaving nothing to cover the inevitable repairs to fire trucks or public restrooms."
